JD,RV,RV_err,NP
2456395.290382456,16.015487666666665,0.03166458951608621,6
2456405.291378904,16.250586666666667,0.12364890753617279,3
2456525.303336274,19.982314,0.009407364,1
2456535.304332722,20.22853742857143,0.046657614698865604,7
2456545.305329169,19.75685972727273,0.40166221701440263,11
2456555.3063256163,19.8867955,0.12195261244946838,6
2456565.3073220644,19.85810225,0.12625174715895046,4
2456575.3083185116,19.58457323076923,0.19370901018564018,13
2456585.309314959,19.482587666666667,0.08311968488404067,12
2456595.310311407,19.40418675,0.059313574982356135,4
2456605.311307854,19.5213058,0.0547065629678926,5
2456615.312304302,19.698681,0.010741715,1
2456625.3133007493,19.780945,0.01164833,1
2456635.314297197,18.8804375,0.05979849999999942,2
2456705.3212723294,17.262698,0.1784409999999994,2
2456715.3222687775,17.177474166666666,0.058298031247252115,12
2456725.3232652247,17.0749055,0.033371870933217126,6
2456735.324261672,16.88934433333333,0.04644505002927977,3
2456745.32525812,16.801918,0.009082931139377493,2
2456755.326254567,16.991615,0.010419907,1
2456765.3272510148,17.028074,0.18077200000000104,2
2456885.339208385,20.773045,0.0066447698,1
2456895.3402048326,20.8190134,0.09967797014305677,5
2456905.3412012802,20.686152,0.007224754068404388,2
2456915.3421977274,20.588182,0.11538168877541505,3
2456925.3431941755,20.7772645,0.05087105279773537,4
2456935.3441906227,21.313735375,0.1456923330815131,8
2456945.3451870703,21.563020172413793,0.09983849199860997,29
2456955.346183518,21.67990053571429,0.09813551588145945,28
2456965.347179965,21.725162600000008,0.05908861020681861,30
2456975.348176413,21.76017613333333,0.022013451656858883,15
2456985.3491728604,21.933453571428572,0.06720283020795453,7
2456995.3501693076,22.108601,0.0080586874,1
2457005.3511657557,22.133164,0.0830169999999999,2
2457015.352162203,22.398753799999998,0.04018828983373146,15
2457025.353158651,22.4563845,0.03792355700047377,44
2457035.354155098,22.37496333333333,0.033002392603499464,3
2457045.3551515453,22.42480953488372,0.032003577231266116,86
2457085.359137336,21.917047928571428,0.09482606841585879,14
